Taxon,Divergence
GCA_000348725.1,Bdellovibrionota+Myxococcota
 GCA_001907975.2,Bdellovibrionota+Myxococcota
 GCA_001263175.1,Bdellovibrionota+Myxococcota
 GCA_012933655.1,Bdellovibrionota+Myxococcota
 GCA_900101905.1,Bdellovibrionota+Myxococcota
 GCA_013116825.1,Bdellovibrionota+Myxococcota
 GCA_000280925.3,Bdellovibrionota+Myxococcota
 GCA_000331735.1,Bdellovibrionota+Myxococcota
 GCA_000737315.1,Bdellovibrionota+Myxococcota
 GCA_900109545.1,Bdellovibrionota+Myxococcota
 GCA_002305855.1,Bdellovibrionota+Myxococcota
 GCA_002305875.1,Bdellovibrionota+Myxococcota
 GCA_000733295.1,Bdellovibrionota+Myxococcota
 GCA_002994635.1,Bdellovibrionota+Myxococcota
 GCA_000170895.1,Bdellovibrionota+Myxococcota
 GCA_000024805.1,Bdellovibrionota+Myxococcota
 GCA_001263205.1,Bdellovibrionota+Myxococcota
 GCA_001189295.1,Bdellovibrionota+Myxococcota
 GCA_000601485.1,Bdellovibrionota+Myxococcota
 GCA_002950945.1,Bdellovibrionota+Myxococcota
 GCA_000737325.2,Bdellovibrionota+Myxococcota
 GCA_001672295.1,Bdellovibrionota+Myxococcota
 GCA_009856865.1,Bdellovibrionota+Myxococcota
 GCA_000934745.1,Bdellovibrionota+Myxococcota
 GCA_003252055.1,Bdellovibrionota+Myxococcota
 GCA_900107645.1,Bdellovibrionota+Myxococcota
 GCA_000421605.1,Bdellovibrionota+Myxococcota
 GCA_000482745.1,Bdellovibrionota+Myxococcota
 GCA_007830435.1,Bdellovibrionota+Myxococcota
 GCA_000931935.2,Bdellovibrionota+Myxococcota
 GCA_000734015.1,Bdellovibrionota+Myxococcota
 GCA_001888165.1,Bdellovibrionota+Myxococcota
 GCA_900111775.1,Bdellovibrionota+Myxococcota
 GCA_000429325.1,Bdellovibrionota+Myxococcota
 GCA_900102485.1,Bdellovibrionota+Myxococcota
 GCA_001311845.1,Bdellovibrionota+Myxococcota
 GCA_007625075.1,Bdellovibrionota+Myxococcota
 GCA_900142125.1,Bdellovibrionota+Myxococcota
 GCA_900217235.1,Bdellovibrionota+Myxococcota
 GCA_000934755.1,Bdellovibrionota+Myxococcota
 GCA_001874525.1,Bdellovibrionota+Myxococcota
 GCA_001548275.1,Bdellovibrionota+Myxococcota
 GCA_013376455.1,Bdellovibrionota+Myxococcota
 GCA_000421285.1,Bdellovibrionota+Myxococcota
 GCA_900114975.1,Bdellovibrionota+Myxococcota
 GCA_900104215.1,Bdellovibrionota+Myxococcota
 GCA_900143255.1,Bdellovibrionota+Myxococcota
 GCA_000186885.1,Bdellovibrionota+Myxococcota
 GCA_900114115.1,Bdellovibrionota+Myxococcota
 GCA_001748225.1,Bdellovibrionota+Myxococcota
